X1	Offset Displacement	X2	Displacement #2	X3	Displacement #3
0.39081	108.63	0.25761	108.63	0.44208	108.63
0.39081	108.34	0.25761	108.34	0.44208	108.34
0.39570	110.07	0.25997	110.07	0.44613	110.07
0.39081	109.92	0.26113	109.92	0.44813	109.92
0.39570	109.49	0.26173	109.49	0.44915	109.49
0.39570	109.49	0.26231	109.49	0.45015	109.49
0.40058	111.08	0.26291	111.08	0.45117	111.08
0.40058	111.08	0.26349	111.08	0.45218	111.08
0.40547	110.64	0.26291	110.64	0.45117	110.64
0.40547	110.64	0.26291	110.64	0.45117	110.64
0.42501	112.37	0.26407	112.37	0.45318	112.37
0.42989	112.23	0.26407	112.23	0.45318	112.23
0.43478	112.08	0.26349	112.08	0.45218	112.08
0.44944	113.81	0.26525	113.81	0.45520	113.81
0.44455	113.53	0.26585	113.53	0.45622	113.53
0.44944	113.38	0.26585	113.38	0.45622	113.38
0.45432	112.81	0.26643	112.81	0.45722	112.81
0.44944	114.68	0.26819	114.68	0.46025	114.68
0.45921	114.53	0.26819	114.53	0.46025	114.53
0.48363	114.39	0.26819	114.39	0.46025	114.39
0.48852	114.10	0.26819	114.10	0.46025	114.10
0.49829	115.97	0.26996	115.97	0.46327	115.97
0.51294	115.69	0.26996	115.69	0.46327	115.69
0.49340	115.25	0.26996	115.25	0.46327	115.25
0.49829	115.11	0.27055	115.11	0.46429	115.11
0.50317	116.98	0.27173	116.98	0.46632	116.98
0.50317	116.55	0.27290	116.55	0.46832	116.55
0.50317	116.41	0.27290	116.41	0.46832	116.41
0.50806	116.12	0.27231	116.12	0.46732	116.12
0.50806	117.99	0.27408	117.99	0.47034	117.99
0.50317	117.56	0.27408	117.56	0.47034	117.56
0.49829	117.56	0.27349	117.56	0.46934	117.56
0.49829	117.27	0.27408	117.27	0.47034	117.27
0.49340	119.14	0.27584	119.14	0.47336	119.14
0.49829	118.71	0.27702	118.71	0.47539	118.71
0.49340	118.57	0.27761	118.57	0.47641	118.57
0.49340	119.58	0.27937	119.58	0.47943	119.58
0.49829	119.86	0.27996	119.86	0.48043	119.86
0.48852	119.72	0.27996	119.72	0.48043	119.72
0.47386	119.29	0.28054	119.29	0.48144	119.29
0.47386	121.16	0.28172	121.16	0.48346	121.16
0.46409	121.02	0.28172	121.02	0.48346	121.02
0.46409	120.73	0.28231	120.73	0.48448	120.73
0.46409	120.44	0.28172	120.44	0.48346	120.44
0.46898	122.17	0.28348	122.17	0.48648	122.17
0.44455	122.03	0.28290	122.03	0.48548	122.03
0.44455	121.74	0.28290	121.74	0.48548	121.74
0.44944	121.45	0.28290	121.45	0.48548	121.45
0.44455	123.32	0.28466	123.32	0.48851	123.32
0.43967	122.75	0.28408	122.75	0.48750	122.75
0.42989	122.60	0.28466	122.60	0.48851	122.60
0.42989	122.31	0.28408	122.31	0.48750	122.31
0.42989	124.19	0.28526	124.19	0.48953	124.19
0.42989	123.90	0.28466	123.90	0.48851	123.90
0.42989	123.47	0.28466	123.47	0.48851	123.47
0.45921	123.32	0.28466	123.32	0.48851	123.32
0.43478	125.05	0.28584	125.05	0.49053	125.05
0.43478	124.91	0.28584	124.91	0.49053	124.91
0.43478	124.47	0.28584	124.47	0.49053	124.47
0.43967	124.33	0.28642	124.33	0.49153	124.33
0.43967	126.20	0.28820	126.20	0.49457	126.20
0.43967	125.63	0.28878	125.63	0.49558	125.63
0.44455	125.48	0.28936	125.48	0.49658	125.48
0.45432	127.21	0.29114	127.21	0.49962	127.21
0.44944	126.92	0.29172	126.92	0.50062	126.92
0.46898	126.78	0.29230	126.78	0.50162	126.78
0.49340	126.49	0.29230	126.49	0.50162	126.49
0.48852	128.36	0.29466	128.36	0.50567	128.36
0.49829	127.93	0.29466	127.93	0.50567	127.93
0.50806	127.64	0.29466	127.64	0.50567	127.64
0.52271	127.21	0.29642	127.21	0.50869	127.21
0.52760	129.08	0.29878	129.08	0.51274	129.08
0.53248	128.80	0.29760	128.80	0.51072	128.80
0.53737	128.51	0.29760	128.51	0.51072	128.51
0.53248	128.22	0.29702	128.22	0.50972	128.22
0.53248	129.95	0.29760	129.95	0.51072	129.95
0.52760	129.52	0.29642	129.52	0.50869	129.52
0.52760	129.23	0.29702	129.23	0.50972	129.23
0.53737	129.08	0.29760	129.08	0.51072	129.08
0.54225	130.81	0.29878	130.81	0.51274	130.81
0.54714	130.53	0.29878	130.53	0.51274	130.53
0.54714	130.09	0.29878	130.09	0.51274	130.09
0.54714	129.95	0.30054	129.95	0.51576	129.95
0.54714	131.39	0.30113	131.39	0.51677	131.39
0.54714	131.10	0.30113	131.10	0.51677	131.10
0.54714	130.81	0.30172	130.81	0.51779	130.81
0.54714	132.25	0.30349	132.25	0.52081	132.25
0.55202	132.40	0.30407	132.40	0.52181	132.40
0.55202	131.97	0.30407	131.97	0.52181	131.97
